task_id	soc_code	task	task_category	human_time_minutes	human_time_rationale	robot_success_prob	robot_success_rationale
2275	35-3031.00	Check patrons' identification to ensure that they meet minimum age requirements for consumption of alcoholic beverages.	inspection	0.5	One instance = checking a single patron's ID. A competent human takes ~20–30 seconds to examine, read, and verify an ID card.	20.0	Requires reading/authenticating varied ID documents (glare, holograms, worn cards), judging authenticity, and social interaction. Vision-based OCR on IDs is feasible, but hologram/forgery detection, varied lighting, and confident autonomous social enforcement remain very challenging for current humanoids.
13596	47-2181.00	Punch holes in slate, tile, terra cotta, or wooden shingles, using punches and hammers.	manipulation	1.0	One instance = punching one hole in a single shingle. A skilled roofer positions the punch and strikes with a hammer in seconds; ~1 minute accounts for positioning and quality check.	8.0	Requires precise two-hand coordination (hold punch, swing hammer), controlled impact force on brittle materials (slate, terra cotta crack easily), and typically done on a sloped roof surface — poor mobility, dexterity, and force-control for current humanoids.
13990	51-3023.00	Tend assembly lines, performing a few of the many cuts needed to process a carcass.	assembly	1.0	One instance = performing one set of assigned cuts on a single carcass passing on the line; skilled meat-processing workers complete their specific cuts in under a minute per carcass.	8.0	Requires precise, force-controlled cuts on irregular, deformable biological material at speed; current humanoids lack the fine dexterous tool control, food-safe compliance, and real-time adaptation to variable carcass geometry needed for acceptable yield and safety.
13570	47-2171.00	Place blocks under rebar to hold the bars off the deck when reinforcing floors.	assembly	1.5	One instance = placing a single block (chair/spacer) under one rebar bar. A worker positions and sets one block in ~1–2 minutes across a floor pour.	20.0	Outdoor/rough concrete deck terrain is challenging for locomotion. Grasping small plastic/concrete chairs and placing them precisely under rebar in cluttered, uneven job-site conditions strains current dexterity and generalization. Heavy debris and safety hazards further limit autonomy.
9655	53-2031.00	Assist passengers in placing carry-on luggage in overhead, garment, or under-seat storage.	manipulation	1.5	One instance = assisting one passenger with their carry-on. A flight attendant typically lifts or repositions one bag in ~1–2 minutes.	8.0	Requires navigating a very narrow, crowded aircraft aisle, handling bags of highly varied size/weight/shape, lifting overhead in confined space, avoiding passengers, and socially coordinating — all far beyond current humanoid capability in unstructured real environments.
12126	51-6011.00	Inspect soiled articles to determine sources of stains, to locate color imperfections, and to identify items requiring special treatment.	inspection	2.0	One instance = inspecting a single garment or article. A skilled laundry/dry-cleaning worker visually examines one item for stains, color flaws, and special treatment needs in roughly 1–3 minutes.	12.0	Requires nuanced visual perception to classify stain types, subtle color imperfections, and fabric conditions. Current robots lack reliable fine-grained textile inspection, stain-source reasoning, and expert-level material identification needed for acceptable quality.
13265	43-9051.00	Weigh packages or letters to determine postage needed, using weighing scales and rate charts.	inspection	2.0	One instance = weighing a single package/letter, reading the scale, and looking up the rate chart to determine postage. A competent worker does this in ~1–3 minutes.	30.0	Robot can pick up and place items on a scale and read digital displays via vision, but interpreting rate charts, handling varied package shapes/sizes, and confirming correct postage requires reliable perception, manipulation, and document reading — still error-prone for frontier humanoids.
23021	33-3021.00	Check victims for signs of life, such as breathing and pulse.	caregiving	2.0	One instance = checking one victim. A competent responder takes ~1–3 minutes to assess breathing (look/listen/feel) and pulse (carotid/radial check).	12.0	Requires subtle tactile sensing (pulse detection), nuanced visual/auditory perception of faint breathing, and safe physical contact on a human body in unstructured emergency settings — all well beyond current humanoid reliability. No deployed system handles this robustly.
9874	47-2073.00	Turn valves to control air or water output of compressors or pumps.	manipulation	2.0	One instance = turning one valve to set desired output. A competent worker locates, grips, and adjusts a valve in about 1–3 minutes including verification.	28.0	Valve turning requires precise grip, torque application, and rotational control on varied handle types (wheel, lever, ball). Current humanoids struggle with tool-like force control, irregular handle geometries, and confirming correct output level.
10149	51-4033.00	Activate machine start-up switches to grind, lap, hone, debar, shear, or cut workpieces, according to specifications.	manipulation	3.0	One instance = starting up a grinding/cutting machine for a single workpiece run: locate switches, verify settings, activate in sequence. Typically takes a few minutes per setup.	20.0	Robots can press buttons but struggle with identifying correct switches on varied industrial panels, reading specifications, and verifying machine state. Industrial panel diversity, fine motor precision on toggles, and safety-critical confirmation steps limit success significantly.
